Cód. Artículo;Descripción;Desc. Adicional;Sinónimo;Código de Barras;Precio;Lista de precios;Fecha de última modificación;Art. carpeta nivel 1
25471;COLGANTE TWIST 1 LUZ NEGRO;;19008/NE;;44.489,0000;LISTA 1;14/12/2023;180º ILUMINACION
25472;JABALINA KIKO;7W;32007;;21.432,0000;LISTA 1;14/12/2023;180º ILUMINACION
25473;APLIQUE LED BIDIREC. 6W ;;32001/NE;;79.221,0000;LISTA 1;14/12/2023;180º ILUMINACION
25474;LAMP. GLOBO DISNEY LED 2W ;;LE2017/BC;;16.519,0000;LISTA 1;14/12/2023;180º ILUMINACION
25475;ROSS-APLIQUE DE CUAD O ESP 7W ;450MM NIQUEL/NGO/BCO;4015/BL;;122.271,0000;LISTA 1;14/12/2023;180º ILUMINACION
25476;COLGANTE XL TWIST 4 LUCES NE;;19082/NE;;214.328,0000;LISTA 1;14/12/2023;180º ILUMINACION
25490;LAMP. GX53 LED 5W;BLANCO CALIDO;LE0206/BC;;7.921,0000;LISTA 1;14/12/2023;180º ILUMINACION
25887;APLIQUE CROCE;80X80MM;32006;;64.482,0000;LISTA 1;14/12/2023;180º ILUMINACION
26157;APLIQUE HISK;9W 3000K;19031-;;140.633,0000;LISTA 1;14/12/2023;180º ILUMINACION
26158;APLIQUE PERE;9W 3000K;19032;;140.633,0000;LISTA 1;14/12/2023;180º ILUMINACION
26159;APLIQUE BID. ALUM PULIDO ;;32048;;49.192,0000;LISTA 1;4/12/2023;180º ILUMINACION
26574;APLIQUE ASTRO;REDONDO DE PARED;32029;;97.644,0000;LISTA 1;14/12/2023;180º ILUMINACION
26575;APLIQUE BACK;CUADRADO DE PARED;32028;;97.644,0000;LISTA 1;14/12/2023;180º ILUMINACION
26576;EMBUTIDO PARED ACERO INOX. ;;32021;;23.256,0000;LISTA 1;14/12/2023;180º ILUMINACION
26577;EMBUTIDO LUMIA;CUADRADO DE PARED;32025;;47.619,0000;LISTA 1;14/12/2023;180º ILUMINACION
27205;COLGANTE CAROLINA;45W 4 ANILLOS;18001-;;534.328,0000;LISTA 1;14/12/2023;180º ILUMINACION
27206;COLGANTE YANI;44W 3 ANILLOS;18002;;511.971,0000;LISTA 1;14/12/2023;180º ILUMINACION
27372;APLIQUE INFINITY;;38040/LED;;66.877,0000;LISTA 1;14/12/2023;180º ILUMINACION
27373;TORTUGA ALUM LED 5W 140X140 ;;38098/LED/BL;;79.277,0000;LISTA 1;14/12/2023;180º ILUMINACION
27374;COLGANTE TANGO;3 MODULOS;19001-;;343.233,0000;LISTA 1;14/12/2023;180º ILUMINACION
27688;APLIQUE LED 11W 450MM 3000K ;;4019;;123.349,0000;LISTA 1;4/12/2023;180º ILUMINACION
27689;LAMP. DE ESCRITORIO FULMOON;;LE2039;;18.533,0000;LISTA 1;14/12/2023;180º ILUMINACION
27897;APLIQUE 4 LUCES BOCHA GU-10;ORO SAT. VENUS IV;5001/OR/04;;142.768,0000;LISTA 1;4/12/2023;180º ILUMINACION
27898;APLIQUE DEVENDRA;22W 484MM 3000K;4018;;97.583,0000;LISTA 1;14/12/2023;180º ILUMINACION
27899;PORTAL E/27 CON ROSCA ;;60011;;4.236,0000;LISTA 1;14/12/2023;180º ILUMINACION
28029;COLGANTE BEAT TRIO COMB NGO ;;19014/NE;;288.553,0000;LISTA 1;14/12/2023;180º ILUMINACION
28119;COLGANTE 1 LUZ E/27 40CM ;;;;211.456,0000;LISTA 1;4/12/2023;180º ILUMINACION
28144;COLGANTE ELIS 1 LUZ 670X450MM ;BCO/NGO;19021/BL;;20.425,0000;LISTA 1;14/12/2023;180º ILUMINACION
28450;APLIQUE PALETTE;DE PARED LED 16W ;4025;;73.080,0000;LISTA 1;14/12/2023;180º ILUMINACION
28451;APLIQUE BOARD;DE PARED 16W;4024;;52.221,0000;LISTA 1;14/12/2023;180º ILUMINACION
28452;COLGANTE TRANS;;19003-;;135.035,0000;LISTA 1;14/12/2023;180º ILUMINACION
28453;COLGANTE CRUDO;;19004-;;116.322,0000;LISTA 1;14/12/2023;180º ILUMINACION
28784;COLGANTE BEAT TRIO COMBINADO ;;19014/BL;;288.553,0000;LISTA 1;14/12/2023;180º ILUMINACION
28785;COLGANTE PISCO;;19042;;83.520,0000;LISTA 1;14/12/2023;180º ILUMINACION
29774;APLIQUE PICASSO I BASE CUADRAD;1 LUZ 5W;13061;;79.221,0000;LISTA 1;14/12/2023;180º ILUMINACION
29775;APLIQUE PICASSO II BASE REDOND;1 LUZ 5W;13062-;;79.221,0000;LISTA 1;14/12/2023;180º ILUMINACION
29776;COLGANTE 1 LUZ DAYAN NEGRO;;15048/NE;;73.080,0000;LISTA 1;14/12/2023;180º ILUMINACION
29777;COLGANTE 1 LUZ DAYAN BLANCO;;15048/BL;;73.080,0000;LISTA 1;14/12/2023;180º ILUMINACION
29778;COLGANTE 1 LUZ GURION E/27 NGO;;15047/NE;;49.681,0000;LISTA 1;14/12/2023;180º ILUMINACION
29779;COLGANTE 1 LUZ GURION E/27 BCO;;15047/BL;;49.681,0000;LISTA 1;14/12/2023;180º ILUMINACION
29780;COLGANTE 1 LUZ MITTE E/27 NGO;;15049/NE;;57.051,0000;LISTA 1;14/12/2023;180º ILUMINACION
29781;COLGANTE 1 LUZ MITTE E/27 BCO;;15049/BL;;57.051,0000;LISTA 1;14/12/2023;180º ILUMINACION
29782;EMBUTIDO PARED PVC CUADR 2W ;;32024/BL;;12.720,0000;LISTA 1;14/12/2023;180º ILUMINACION
29783;EMBUTIDO PARED PVC CUADR 2W ;;32024/NE;;12.720,0000;LISTA 1;14/12/2023;180º ILUMINACION
29784;"COLGANTE ""ONE"" OXIDO E/27 ";;19015/OX;;37.399,0000;LISTA 1;14/12/2023;180º ILUMINACION
